id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1179825,2025-01-06,000001,Vente en l'état futur d'achèvement,222000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,11029,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179825,2025-01-06,000001,Vente en l'état futur d'achèvement,222000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,5097,41,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179826,2025-01-08,000001,Vente,165000,77,,RUE MARTRE,6140,92110,92024,Clichy,92,,,920240000K0192,,,1139,20.72,,,,,,,,,1,2,Appartement,20,1,,,,,,2.305108,48.903617
2025-1179827,2025-01-08,000001,Vente en l'état futur d'achèvement,237000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,5106,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179827,2025-01-08,000001,Vente en l'état futur d'achèvement,237000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,11049,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179828,2025-01-07,000001,Vente en l'état futur d'achèvement,263000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,11597,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179828,2025-01-07,000001,Vente en l'état futur d'achèvement,263000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,10001,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179829,2025-01-07,000001,Vente,349550,22,,RUE DANTON,2520,92300,92044,Levallois-Perret,92,,,920440000V0113,,,10,40.4,3,,6,,9,40.4,,,4,2,Appartement,40,2,,,,,,2.286201,48.888328
2025-1179829,2025-01-07,000001,Vente,349550,22,,RUE DANTON,2520,92300,92044,Levallois-Perret,92,,,920440000V0113,,,10,40.4,3,,6,,9,40.4,,,4,3,Dépendance,,0,,,,,,2.286201,48.888328
2025-1179829,2025-01-07,000001,Vente,349550,22,,RUE DANTON,2520,92300,92044,Levallois-Perret,92,,,920440000V0113,,,10,40.4,3,,6,,9,40.4,,,4,3,Dépendance,,0,,,,,,2.286201,48.888328
2025-1179830,2025-01-07,000001,Vente,885000,40,,RUE HOCHE,4460,92270,92009,Bois-Colombes,92,,,920090000C0396,,,203,126,603,,,,,,,,2,1,Maison,129,6,,,,,,2.269089,48.92192
2025-1179831,2025-01-07,000001,Vente,749050,7,,AV DES VATS,9623,92700,92025,Colombes,92,,,92025000AZ0203,,,,,,,,,,,,,0,1,Maison,95,5,S,sols,,,297,2.240374,48.911618
2025-1179832,2025-01-06,000001,Vente,362000,14,,RUE CACHEUX,1410,92400,92026,Courbevoie,92,,,92026000AU0001,,,24,,30,,,,,,,,2,3,Dépendance,,0,,,,,,2.270678,48.90679
2025-1179832,2025-01-06,000001,Vente,362000,14,,RUE CACHEUX,1410,92400,92026,Courbevoie,92,,,92026000AU0001,,,24,,30,,,,,,,,2,2,Appartement,49,3,,,,,,2.270678,48.90679
2025-1179833,2025-01-08,000001,Vente,1000000,104,,RUE JULES GUESDE,4785,92300,92044,Levallois-Perret,92,,,920440000H0152,,,187,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.290346,48.896584
